kode,nama_makanan,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitamin_c_mg,status_makanan,kelompok_makanan
AP050,Intip goreng,474,7.6,21.6,62.3,1.2,36,64,2.5,0,38,0.05,0.5,0,0.25,0.03,0.8,0,Olahan,Serealia
AP051,Jagung gerontol,156,2.7,1.3,33.3,1,51,105,1.2,0,0,0,0,0,0.08,0,0,0,Olahan,Serealia
AP052,Jagung titi,374,9.4,2.2,79.1,0.8,14,142,2.9,0,0,9,0,0,0.2,0,0,0,Olahan,Serealia
AP053,Japilus,500,1.2,25.1,67.3,0.4,186,29,4.9,0,0,0,0,0,0.17,0.03,0.4,0,Olahan,Serealia
AP054,Kakicak,296,3.4,15.1,36.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP055,Kambose,164,3,2.4,32.6,4.3,16,36,0.7,0,32,0.1,1.6,0,0.1,0.1,0.4,0,Olahan,Serealia
AP056,Kapusa,158,4.4,3.2,27.8,5.3,79,115,1.2,104,149,0.5,1.1,0,0.06,0.05,0.1,0,Olahan,Serealia
AP057,Keddo bodong,290,4.6,5.7,55.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP058,"Kelepon, kue",215,3.7,3.7,41.8,1,232,45,3.3,0,0,0,0,0,0.09,0.07,0.2,0,Olahan,Serealia
AP059,Kereput,580,4.8,39.6,51.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP060,Ketoprak,153,7.9,7.7,13,2.9,153,134,3.4,0,0,0,0,3,0.05,0,0,0,Olahan,Serealia
AP061,Ketupat kandangan,109,2.2,5.2,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP062,Koya,366,4.2,4.3,77.5,0.8,153,222,7,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP063,Koya mirasa,370,8,1,82.2,0.4,83,110,17,0,0,0,0,3,0.19,0.45,2.6,0,Olahan,Serealia
AP064,Koyabu,241,3.4,4.3,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP065,Kue ali,440,3.8,18.5,64.5,0.3,27,47,2.5,0,0,0,0,0,0.13,0.09,0,0,Olahan,Serealia
AP066,Kue bangen,442,3.3,14.7,74.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP067,Kue gelang,448,5.8,16.1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP068,Kue jahe,425,1.6,8.8,84.6,1.2,155,61,4,0,0,0,0,0,0.2,0,0,0,Olahan,Serealia
AP069,Kue kelapa,591,5.6,42.1,47.5,0,32,180,1.6,33,443,0.5,1.1,0,0,0,0,0,Olahan,Serealia
AP070,Kue koa,340,4.8,0.4,79.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP071,Kue ku temu,214,3.5,0.2,49.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP072,Kue lumpur,291,3.6,11.1,44.1,0,96,60,2.3,0,0,0,0,20,0.24,0,0,0,Olahan,Serealia
AP073,Kue pelita,141,5.3,5.5,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP074,Kue putu cangkir,304,5.3,7,54.9,0.9,18,193,4,0,0,0,0,0,0.06,0,0,0,Olahan,Serealia
AP075,Kue sus,221,7.5,10.2,24.8,0,105,85,2.5,0,0,0,0,26,0.12,0,0,0,Olahan,Serealia
AP076,Kue thipan,247,2.9,4.2,49.5,0,16,107,1.8,95,56,1.3,0.8,0,0.17,0,0,0,Olahan,Serealia
AP077,Laksa/Putu mayang,121,1.7,3.4,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP078,Lapis legit,389,6.6,15.7,55.5,0.5,16,136,1.9,0,0,0,0,41,0.26,0.09,3,0,Olahan,Serealia
AP079,Lupis ketan,164,1.8,2.1,34.5,0.7,119,31,1.5,0,0,0,0,0,0.09,0,0.2,0,Olahan,Serealia
AP080,Manan samin,379,3.4,18.1,50.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP081,Martabak india,153,4.5,4.2,24.3,0,14,108,2.4,240,112,0.4,0.5,0,0,0,0,0,Olahan,Serealia
AP082,Martabak mesir,278,5.1,8.6,45,0,49,168,3.4,193,123,0.2,0.9,0,0,0,0,0,Olahan,Serealia
AP083,Masekat,369,2.1,7,74.1,4,17,52,0.8,141,12,0.4,0.3,155,0,0,0,0,Olahan,Serealia
AP084,Mie aceh rebus,113,3,3.2,18.1,0,22,44,1.4,191,36,0.2,0.3,0,0,0,0,0,Olahan,Serealia
AP085,Mie ayam,102,6.2,3.9,10.5,0,262,51,1.8,279,0,0,0,39,0.85,0,0,0,Olahan,Serealia
AP086,Mie bakso,114,5.3,3,16.4,0.1,286,53,1.9,760,0,0,0,17,0.16,0,0,0,Olahan,Serealia
AP087,Mie celon,102,3,2.1,17.8,0,12,84,1.4,451,112,0.1,0.5,0,0,0,0,0,Olahan,Serealia
AP088,Mie pangsit basah,105,5.9,4.9,9.4,0,208,48,2,530,0,0,0,25,0.46,0,0,0,Olahan,Serealia
AP089,Nasi gemuk,192,3.8,8.8,24.4,0.7,15,74,1,355,63,0.2,1.4,0,0.19,0.05,2,0,Olahan,Serealia
AP090,Nasi gurih,190,4.7,7.5,26,0.7,12,62,0.8,296,52,0.2,1.2,0,0.11,0.06,2.1,0,Olahan,Serealia
AP091,Nasi minyak,207,3.5,5,37.1,0.8,26,100,1.5,74,174,0.2,2.2,0,0.14,0.07,2.6,0,Olahan,Serealia
AP092,Nasi rames,155,10.3,4.2,19.1,0,239,62,1.8,265,0,0,0,96,0.59,0,0,0,Olahan,Serealia
AP093,Nopia spesial,387,5.3,7.6,74.3,0.3,903,133,4.2,0,0,0,0,0,0.17,0,0,0,Olahan,Serealia
AP094,Onde-onde,336,4,9.8,57.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP095,Padamaran,171,3.9,8.9,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP096,Pastel,307,4.5,13.3,42.4,0,296,53,2.5,0,0,0,0,0,0.15,0,0,0,Olahan,Serealia
AP097,Pulut,216,2.6,3.1,44.4,0,6,70,3.8,100,22,0.4,1.3,0,0.14,0,0,0,Olahan,Serealia
AP098,Pundut nasi,104,1.9,4.1,15.1,0.4,26,100,1.5,74,174,0,0,0,0,0,0,0,Olahan,Serealia
AP100,Putri selat,163,2.2,6.5,23.8,0,72,3,4,6,68,0,0,0,0,0,0,0,Olahan,Serealia
AP101,Putu sopa,215,3.3,4.1,41.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP102,Renggi goreng,471,4.7,21.8,64.1,6.4,4,80,1.1,126,29,0.9,1.3,0,0.53,0.05,8.2,0,Olahan,Serealia
AP103,Roti boong,341,5.5,16.2,43.3,0,15,65,1.1,161,41,0,0.9,0,0.4,0.3,2.4,0,Olahan,Serealia
AP104,Roti warna sawo matang,249,7.9,1.5,49.7,0,20,140,2.5,500,91,0,0,0,0.15,0,0,0,Olahan,Serealia
AP105,Sarimuka,166,2.3,2.8,32.9,0,36,13,2,3,34,0,0,0,0,0,0,0,Olahan,Serealia
AP106,Spaghetti,139,7.4,2.1,22.6,0,109,53,4.7,0,0,0,0,42,0.35,0,0,0,Olahan,Serealia
AP107,Srikaya ketan,265,2.7,6.4,49.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP108,Sunduk lawang,181,1.9,1.3,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP109,Suwir-suwir,347,0.5,0.9,84.2,0.8,42,40,4.3,0,0,0,0,1,0.13,0,0.9,0,Olahan,Serealia
AP110,Tipa-tipa,355,6.2,1.2,79.8,1.3,17,328,1.6,0,0,0,0,0,0.26,0.04,1.5,0,Olahan,Serealia
AP111,Wajit camilan,303,6.3,2.7,63.3,6.9,61,302,5.5,0,0,0,0,0,0.03,0,0,0,Olahan,Serealia
AP112,Widaran,424,1.3,10.7,80.7,0.2,49,88,2.5,0,0,0,0,21,0.13,0.2,2.2,0,Olahan,Serealia
AP113,Wingko babat,355,3.2,15.1,51.4,2.4,47,63,1.1,0,0,0,0,0,0.08,0.08,0,0,Olahan,Serealia
AP114,Yangko,254,3,1.1,58.1,0.8,184,24,2.6,0,0,0,0,0,0.15,0,0,0,Olahan,Serealia
AP99,Putri hijau,189,5.4,2.1,37.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AR001,"Beras giling, mentah",357,8.4,1.7,77.1,0.2,147,81,1.8,27,71,0.1,0.5,0,0.2,0.08,2.6,0,Tunggal,Serealia
AR002,"Beras giling var pelita, mentah",369,9.5,1.4,77.1,0.4,68,171,1.4,34,0,0,0,0,0.26,0,0,0,Tunggal,Serealia
AR003,"Beras giling var rojolele, mentah",357,8.4,1.7,77.1,0.2,147,81,1.8,34,112.9,0.14,0.1,0,0.2,0.02,1.5,0,Tunggal,Serealia
AR004,"Beras hitam, mentah",351,8,1.3,76.9,20.1,6,198,0.1,15,105,0.1,1.6,0,0.21,0.06,0,0,Tunggal,Serealia
AR005,"Beras jagung kuning, kering, mentah",358,5.5,0.1,82.7,10,20,90,1.4,1,80,0.1,4.1,0,0.12,0.08,1,3,Tunggal,Serealia
AR006,"Beras jagung putih, kering, mentah",307,4.8,0.1,71.8,10,17,78,1.2,1,70,0.1,3.5,0,0.15,0.07,0.9,0,Tunggal,Serealia
AR007,"Beras ketan hitam tumbuk, mentah",360,8,2.3,74.5,1,10,347,6.2,11,288,0.28,2.2,0,0.24,0.1,2,0,Tunggal,Serealia
AR008,"Beras ketan putih tumbuk, mentah",361,7.4,0.8,78.4,0.4,13,157,3.4,3,282,0.28,2.2,0,0.28,0,1.4,0,Tunggal,Serealia
AR009,"Beras ladang, mentah",376,7.5,3.8,78,5.9,20,110,0.8,10,70,0.1,1.4,0,0.2,0.2,5.1,0,Tunggal,Serealia
