kode,nama_makanan,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitamin_c_mg,status_makanan,kelompok_makanan,meal_type
FR030,"Sapi, keleponan, segar",84,10.5,4.6,0.2,0,20,13,2.1,73,318,0.2,1.7,857,0.1,0.14,0.3,0,Tunggal,Daging,Makan Malam
FR031,"Sapi, liver, segar",132,19.7,3.2,6,0,7,358,6.6,110,213,0.51,2.3,13303,0.26,1.52,11.4,31,Tunggal,Daging,Makan Malam
FR032,"Sapi, otak, segar",123,10.4,8.6,0.8,0,16,330,3.6,112,243.8,0.26,0.9,0,0.23,0.19,3.9,18,Tunggal,Daging,Makan Malam
FR033,"Sapi, usus, segar",126,14,7.2,1.5,0,14,115,4,0,0,0,0,61,0.08,0.33,0.2,0,Tunggal,Daging,Makan Malam
FR028,"Sapi, dideh/darah",98,21.9,1.1,0,0,7,24,1.3,150,170,0,0.2,15,0.01,0.03,0.9,0,Tunggal,Daging,Makan Malam
GP008,"Ikan cakalang asap, mentah",204,34.2,5.6,1.9,0,14,399,1.3,176,588,0.3,0.7,1546,0.53,0.07,0,0,Olahan,Ikan dsb,Makan Malam
GP009,"Ikan cakalang asin, mentah",198,36.5,2.2,5.5,0,236,346,3.7,4304,302.1,0,0,0,0.06,0,0,0,Olahan,Ikan dsb,Makan Malam
GP010,"Ikan calo/ peda, mentah",81,11.4,1.9,3.8,0,743,174,22.6,0,0,0,0,15,0,0,0,0,Olahan,Ikan dsb,Makan Malam
GP011,"Ikan Gabus asap, mentah",261,38.1,2.3,21.9,0,251,184,2.9,320,410,0.4,0.8,114,0.1,0.1,14.5,0,Olahan,Ikan dsb,Makan Malam
GP018,"Ikan lomak asin, mentah",258,40.3,2.3,18.9,0,140,279,2.3,6227,485.1,2.3,0,0,0.1,0.3,6,0,Olahan,Ikan dsb,Makan Malam
GP025,"Ikan peda banjar, mentah",156,28,4,2,0,174,316,3.1,59,368.8,0,0.5,33,0.1,0.1,4.7,0,Olahan,Ikan dsb,Makan Malam
GP026,"Ikan pepetek, mentah",176,32,4.4,2,0,120,200,1,79,1,0,0,15,0.05,0.1,2.4,0,Olahan,Ikan dsb,Makan Malam
GP028,"Ikan Pindang benggol, mentah",170,31,4.2,0,0,50,100,1,0,0,0,0,45,0.1,0,0,0,Olahan,Ikan dsb,Makan Malam
GP029,"Ikan Pindang layang, mentah",153,30,2.8,0,0,60,200,3,0,0,0,0,61,0.07,0,0,0,Olahan,Ikan dsb,Makan Malam
